,,validdate,t_2m:C,relative_humidity_2m:p,uv:idx,precip_1h:mm
Rio Branco,0,2020-01-01T00:00:00Z,-1.3,86.4,0,0.0
Rio Branco,1,2020-01-02T00:00:00Z,-1.7,79.7,0,0.01
Rio Branco,2,2020-01-03T00:00:00Z,-0.5,85.3,0,0.01
Rio Branco,3,2020-01-04T00:00:00Z,-0.7,84.0,0,0.01
Rio Branco,4,2020-01-05T00:00:00Z,-0.4,89.4,0,0.0
Rio Branco,5,2020-01-06T00:00:00Z,0.6,84.6,0,0.01
Rio Branco,6,2020-01-07T00:00:00Z,-0.2,72.6,0,0.01
Rio Branco,7,2020-01-08T00:00:00Z,-0.8,84.5,0,0.23
Rio Branco,8,2020-01-09T00:00:00Z,-0.2,78.3,0,0.03
Rio Branco,9,2020-01-10T00:00:00Z,0.6,68.8,0,0.0
Rio Branco,10,2020-01-11T00:00:00Z,-0.5,84.6,0,0.0
Rio Branco,11,2020-01-12T00:00:00Z,0.0,81.2,0,0.0
Rio Branco,12,2020-01-13T00:00:00Z,-0.3,83.4,0,0.0
Rio Branco,13,2020-01-14T00:00:00Z,-0.5,76.4,0,0.03
Rio Branco,14,2020-01-15T00:00:00Z,-0.4,72.3,0,0.03
Rio Branco,15,2020-01-16T00:00:00Z,-0.6,65.1,0,0.0
Rio Branco,16,2020-01-17T00:00:00Z,0.1,68.3,0,0.0
Rio Branco,17,2020-01-18T00:00:00Z,0.4,93.4,0,3.11
Rio Branco,18,2020-01-19T00:00:00Z,1.7,93.6,0,0.03
Rio Branco,19,2020-01-20T00:00:00Z,0.6,86.6,0,0.05
Rio Branco,20,2020-01-21T00:00:00Z,0.6,89.8,0,0.02
Rio Branco,21,2020-01-22T00:00:00Z,0.9,93.3,0,0.01
Rio Branco,22,2020-01-23T00:00:00Z,0.6,86.9,0,0.04
Rio Branco,23,2020-01-24T00:00:00Z,0.7,92.0,0,0.07
Rio Branco,24,2020-01-25T00:00:00Z,0.8,92.8,0,0.02
Rio Branco,25,2020-01-26T00:00:00Z,0.7,85.4,0,0.01
Rio Branco,26,2020-01-27T00:00:00Z,0.5,89.2,0,0.02
Rio Branco,27,2020-01-28T00:00:00Z,-0.7,66.4,0,0.0
Rio Branco,28,2020-01-29T00:00:00Z,0.2,82.7,0,0.06
Rio Branco,29,2020-01-30T00:00:00Z,-0.4,77.0,0,0.03
Rio Branco,30,2020-01-31T00:00:00Z,-1.3,83.6,0,0.19
Rio Branco,31,2020-02-01T00:00:00Z,0.3,74.4,0,0.01
Rio Branco,32,2020-02-02T00:00:00Z,-0.1,71.4,0,0.03
Rio Branco,33,2020-02-03T00:00:00Z,0.2,72.8,0,0.03
Rio Branco,34,2020-02-04T00:00:00Z,-0.0,87.5,0,0.04
Rio Branco,35,2020-02-05T00:00:00Z,0.5,96.9,0,0.01
Rio Branco,36,2020-02-06T00:00:00Z,0.5,93.5,0,0.02
Rio Branco,37,2020-02-07T00:00:00Z,-0.1,80.2,0,0.14
Rio Branco,38,2020-02-08T00:00:00Z,0.3,80.7,0,0.03
Rio Branco,39,2020-02-09T00:00:00Z,0.1,84.8,0,0.02
Rio Branco,40,2020-02-10T00:00:00Z,0.6,87.8,0,0.01
Rio Branco,41,2020-02-11T00:00:00Z,-2.1,73.1,0,0.0
Rio Branco,42,2020-02-12T00:00:00Z,-1.9,59.8,0,0.0
Rio Branco,43,2020-02-13T00:00:00Z,-1.0,71.6,0,0.0
Rio Branco,44,2020-02-14T00:00:00Z,0.3,91.7,0,0.34
Rio Branco,45,2020-02-15T00:00:00Z,0.4,79.2,0,0.0
Rio Branco,46,2020-02-16T00:00:00Z,-1.2,70.4,0,0.05
Rio Branco,47,2020-02-17T00:00:00Z,-1.4,68.4,0,0.04
Rio Branco,48,2020-02-18T00:00:00Z,-1.5,80.2,0,0.07
Rio Branco,49,2020-02-19T00:00:00Z,-0.9,65.0,0,0.0
Rio Branco,50,2020-02-20T00:00:00Z,-2.9,79.5,0,0.01
Rio Branco,51,2020-02-21T00:00:00Z,-2.1,61.6,0,0.03
Rio Branco,52,2020-02-22T00:00:00Z,-1.7,59.7,0,0.05
Rio Branco,53,2020-02-23T00:00:00Z,-2.8,74.1,0,0.08
Rio Branco,54,2020-02-24T00:00:00Z,-0.2,63.6,0,0.01
Rio Branco,55,2020-02-25T00:00:00Z,-2.0,68.2,0,0.0
Rio Branco,56,2020-02-26T00:00:00Z,-0.5,83.1,0,0.35
Rio Branco,57,2020-02-27T00:00:00Z,-0.4,72.9,0,0.01
Rio Branco,58,2020-02-28T00:00:00Z,0.7,92.6,0,0.09
Rio Branco,59,2020-02-29T00:00:00Z,0.3,93.7,0,0.05
Rio Branco,60,2020-03-01T00:00:00Z,-0.5,82.6,0,0.04
Rio Branco,61,2020-03-02T00:00:00Z,-0.5,85.0,0,0.01
Rio Branco,62,2020-03-03T00:00:00Z,0.2,95.3,0,0.27
Rio Branco,63,2020-03-04T00:00:00Z,-0.4,76.1,0,0.0
Rio Branco,64,2020-03-05T00:00:00Z,-1.4,84.7,0,0.02
